%time,field.header.seq,field.header.stamp,field.header.frame_id,field.copx,field.copy
1374680237451743426,741162,1374680237451743426,,-0.00636123488094,-0.0119827069736
1374680237452624195,741163,1374680237452624195,,-0.00620854312996,-0.0121174632095
1374680237453250671,741164,1374680237453250671,,-0.00629750505945,-0.0119649937549
1374680237453856125,741165,1374680237453856125,,-0.00629750505945,-0.0119649937549
1374680237454779147,741166,1374680237454779147,,-0.00623356998279,-0.011947223487
1374680237455144976,741167,1374680237455144976,,-0.00623356998279,-0.011947223487
1374680237456008494,741168,1374680237456008494,,-0.00604413474533,-0.0118192055033
1374680237456931306,741169,1374680237456931306,,-0.00623356998279,-0.011947223487
1374680237457566094,741170,1374680237457566094,,-0.00623356998279,-0.011947223487
1374680237458133135,741171,1374680237458133135,,-0.00607989119017,-0.0120822782835
1374680237459086957,741172,1374680237459086957,,-0.00623356998279,-0.011947223487
1374680237459702050,741173,1374680237459702050,,-0.00597993129584,-0.0118012395409
1374680237460624583,741174,1374680237460624583,,-0.00607989119017,-0.0120822782835
1374680237461237440,741175,1374680237461237440,,-0.00616942865778,-0.011929395894
1374680237461855955,741176,1374680237461855955,,-0.00604413474533,-0.0118192055033
1374680237462471117,741177,1374680237462471117,,-0.00610508008478,-0.011911510698
1374680237463387434,741178,1374680237463387434,,-0.00591552118247,-0.011783215748
1374680237464008812,741179,1374680237464008812,,-0.00610508008478,-0.011911510698
1374680237468007155,741180,1374680237468007155,,-0.00610508008478,-0.011911510698
1374680237468013441,741181,1374680237468013441,,-0.00585090340576,-0.0117651338449
1374680237468018959,741182,1374680237468018959,,-0.00585090340576,-0.0117651338449
1374680237468024476,741183,1374680237468024476,,-0.00588534586029,-0.0120290722217
1374680237468029854,741184,1374680237468029854,,-0.00563025333913,-0.0118816335439
1374680237471391804,741185,1374680237471391804,,-0.0057860769598,-0.0117469935502
1374680237471397810,741186,1374680237471397810,,-0.0057860769598,-0.0117469935502
1374680237471403188,741187,1374680237471403188,,-0.0057860769598,-0.0117469935502
1374680237471408426,741188,1374680237471408426,,-0.00575459210588,-0.0119933124719
1374680237471699315,741189,1374680237471699315,,-0.00556471181155,-0.0118635825333
1374680237472023308,741190,1374680237472023308,,-0.00572104083219,-0.0117287945806
1374680237472932362,741191,1374680237472932362,,-0.00572104083219,-0.0117287945806
1374680237473201740,741192,1374680237473201740,,-0.00572104083219,-0.0117287945806
1374680237473854477,741193,1374680237473854477,,-0.00572104083219,-0.0117287945806
1374680237474777988,741194,1374680237474777988,,-0.00575459210588,-0.0119933124719
1374680237475390147,741195,1374680237475390147,,-0.00572104083219,-0.0117287945806
1374680237476009080,741196,1374680237476009080,,-0.0057860769598,-0.0117469935502
1374680237476931544,741197,1374680237476931544,,-0.0057860769598,-0.0117469935502
1374680237477548242,741198,1374680237477548242,,-0.0057860769598,-0.0117469935502
1374680237478130230,741199,1374680237478130230,,-0.00585090340576,-0.0117651338449
1374680237479086497,741200,1374680237479086497,,-0.00588534586029,-0.0120290722217
1374680237479701519,741201,1374680237479701519,,-0.00588534586029,-0.0120290722217
1374680237480601354,741202,1374680237480601354,,-0.00585090340576,-0.0117651338449
1374680237481236910,741203,1374680237481236910,,-0.00610508008478,-0.011911510698
1374680237481854795,741204,1374680237481854795,,-0.0057607010367,-0.011917560579
1374680237482470307,741205,1374680237482470307,,-0.00595040464872,-0.0120468651028
1374680237483393748,741206,1374680237483393748,,-0.00597993129584,-0.0118012395409
1374680237484008211,741207,1374680237484008211,,-0.0058969268521,-0.011818177188
1374680237484624072,741208,1374680237484624072,,-0.0060857941299,-0.0119461840106
1374680237485548282,741209,1374680237485548282,,-0.00623356998279,-0.011947223487
1374680237486133202,741210,1374680237486133202,,-0.00604413474533,-0.0118192055033
1374680237486778536,741211,1374680237486778536,,-0.00604413474533,-0.0118192055033
1374680237487700929,741212,1374680237487700929,,-0.00623356998279,-0.011947223487
1374680237488317977,741213,1374680237488317977,,-0.00629750505945,-0.0119649937549
1374680237488931882,741214,1374680237488931882,,-0.00614432098014,-0.0120998991402
1374680237489855393,741215,1374680237489855393,,-0.00629750505945,-0.0119649937549
1374680237490470346,741216,1374680237490470346,,-0.00629750505945,-0.0119649937549
1374680237491086625,741217,1374680237491086625,,-0.00629750505945,-0.0119649937549
1374680237495746226,741218,1374680237495746226,,-0.00629750505945,-0.0119649937549
1374680237495752232,741219,1374680237495752232,,-0.00629750505945,-0.0119649937549
1374680237495757470,741220,1374680237495757470,,-0.00636123488094,-0.0119827069736
1374680237495762708,741221,1374680237495762708,,-0.0064247604341,-0.0120003634176
1374680237495767946,741222,1374680237495767946,,-0.0064247604341,-0.0120003634176
1374680237496053946,741223,1374680237496053946,,-0.00655120265125,-0.0120355070693
1374680237510055586,741224,1374680237510055586,,-0.00655120265125,-0.0120355070693
1374680237510061453,741225,1374680237510061453,,-0.00655120265125,-0.0120355070693
1374680237510066761,741226,1374680237510066761,,-0.00655120265125,-0.0120355070693
1374680237510072139,741227,1374680237510072139,,-0.00636208656988,-0.0119081775225
1374680237510077447,741228,1374680237510077447,,-0.00655120265125,-0.0120355070693
1374680237510082685,741229,1374680237510082685,,-0.00636208656988,-0.0119081775225
1374680237510087853,741230,1374680237510087853,,-0.00648808269946,-0.0120179633592
1374680237510670050,741231,1374680237510670050,,-0.00648808269946,-0.0120179633592
1374680237511294640,741232,1374680237511294640,,-0.00648808269946,-0.0120179633592
1374680237512208863,741233,1374680237512208863,,-0.00629890167039,-0.0118904965795
1374680237512823466,741234,1374680237512823466,,-0.00629890167039,-0.0118904965795
1374680237513747187,741235,1374680237513747187,,-0.00629890167039,-0.0118904965795
1374680237514356761,741236,1374680237514356761,,-0.00648808269946,-0.0120179633592
1374680237515295149,741237,1374680237515295149,,-0.00629890167039,-0.0118904965795
1374680237515912336,741238,1374680237515912336,,-0.00636208656988,-0.0119081775225
1374680237516496978,741239,1374680237516496978,,-0.00636208656988,-0.0119081775225
1374680237517088463,741240,1374680237517088463,,-0.00608316154867,-0.0120063705031
1374680237518633143,741241,1374680237518633143,,-0.00608316154867,-0.0120063705031
1374680237518644527,741242,1374680237518644527,,-0.00608316154867,-0.0120063705031
1374680237534483132,741243,1374680237534483132,,-0.00623551500924,-0.0118727591778
1374680237534489767,741244,1374680237534489767,,-0.00617192561848,-0.0118549650466
1374680237534495564,741245,1374680237534495564,,-0.00617192561848,-0.0118549650466
1374680237534501221,741246,1374680237534501221,,-0.00617192561848,-0.0118549650466
1374680237534506599,741247,1374680237534506599,,-0.00617192561848,-0.0118549650466
1374680237534512186,741248,1374680237534512186,,-0.00610813252398,-0.0118371139132
1374680237534517773,741249,1374680237534517773,,-0.00610813252398,-0.0118371139132
1374680237534523291,741250,1374680237534523291,,-0.00604413474533,-0.0118192055033
1374680237534529088,741251,1374680237534529088,,-0.00604413474533,-0.0118192055033
