%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed_g_static,field.speed_wanted0,field.speed_wanted1,field.speed_wanted2,field.speed_wanted3,field.speed_wanted4,field.speed_wanted5,field.speed_wanted6,field.speed_wanted7,field.speed_wanted8,field.speed_wanted9,field.speed_wanted10,field.speed_wanted11,field.speed_wanted12,field.joint_now0,field.joint_now1,field.joint_now2,field.joint_now3,field.joint_now4,field.joint_now5,field.joint_now6,field.joint_now7,field.joint_now8,field.joint_now9,field.joint_now10,field.joint_now11,field.joint_now12,field.joint_wanted0,field.joint_wanted1,field.joint_wanted2,field.joint_wanted3,field.joint_wanted4,field.joint_wanted5,field.joint_wanted6,field.joint_wanted7,field.joint_wanted8,field.joint_wanted9,field.joint_wanted10,field.joint_wanted11,field.joint_wanted12
1374680227342909821,22077,1374680227342909821,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.4,10.2222222222,20.2444444444,20.1333333333,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680227442981268,22078,1374680227442981268,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.4,10.2222222222,20.1,19.7722222222,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680227538391369,22079,1374680227538391369,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.2222222222,19.9555555556,19.7722222222,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680227635210308,22080,1374680227635210308,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.4,10.2222222222,19.7388888889,19.6277777778,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680227739297210,22081,1374680227739297210,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.4,10.2666666667,19.5944444444,19.6277777778,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680227846529764,22082,1374680227846529764,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.4,10.2666666667,19.5944444444,19.6277777778,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680227946670285,22083,1374680227946670285,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.4,10.2666666667,19.5944444444,19.6277777778,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680228054574083,22084,1374680228054574083,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.4,10.2222222222,19.7388888889,19.7722222222,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680228151376121,22085,1374680228151376121,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.2222222222,19.9555555556,20.2777777778,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680228259027303,22086,1374680228259027303,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.1333333333,20.3888888889,20.2777777778,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680228354851982,22087,1374680228354851982,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.0888888889,20.3888888889,20.2777777778,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680228451318362,22088,1374680228451318362,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.4,10.1777777778,20.2444444444,20.1333333333,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680228554974833,22089,1374680228554974833,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.4,10.2222222222,20.2444444444,20.2777777778,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680228659210497,22090,1374680228659210497,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.1777777778,20.3888888889,20.2777777778,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680228761897990,22091,1374680228761897990,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.1333333333,20.3888888889,20.2777777778,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680228866806575,22092,1374680228866806575,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.1333333333,20.3888888889,20.2777777778,0.0,-0.55,14.6,14.6,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680228963454263,22093,1374680228963454263,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.1333333333,20.2444444444,20.2777777778,0.0,-0.55,14.6,14.6,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680229066610251,22094,1374680229066610251,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.1333333333,20.3888888889,20.2777777778,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680229166792049,22095,1374680229166792049,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.1333333333,20.2444444444,20.1333333333,0.0,-0.55,14.6,14.6,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
